id,reg_key,item_id,name,jurisdiction_source,category,is_current,version,version_hash,state_code,content_hash
177,REG-041,higher-education-act-audits,Higher Education Act: Audits,state,Uncategorized,t,5,1de967d1b194bf7a1d970611ecd8dfd67db6942308e5c8da0d8c4fd9a062e5f7,PA,5d5ef4f3f0a27c6ae19b90a7f57ff4993f5dbbc4b0b273281f605e084c51a350
178,REG-042,higher-education-act-borrower-defense-to-repayment,Higher Education Act: Borrower Defense to Repayment,state,Uncategorized,t,4,e98b4903b77d4b3e1fae94d5b23d4eee93d52ea4628940ea18c29b644609bcc8,PA,233fab1ee56d18b0a51a64719c255d72ad02b7109f9d6171733ccc2ae4022f5e
179,REG-043,higher-education-act-cash-management,Higher Education Act: Cash Management,federal,Financial Aid,t,3,27f4baaa15115279eb2b9e8cca7ba6298406e58df4be3edc8d5d975b58259693,,
180,REG-245,higher-education-act-code-of-conduct,Higher Education Act: Code of Conduct,federal,Fundraising & Development,t,3,cc4772844eac14a9906f428c0c49a29d8afa04d1fb2872b5c566002234f3f6c7,,
181,REG-044,higher-education-act-cohort-default-rate,Higher Education Act: Cohort Default Rate,state,Uncategorized,t,4,4ad256f5ef90af8faf1a6cc9e334e78bd9fff335446068025798747fbc8f8a98,PA,0d30edbd26a6163b7cf17bbb0d7071dc1d97dd74d1cec4dd75ea656c40b062e3
182,REG-045,higher-education-act-eligibility-and-certification,Higher Education Act: Eligibility and Certification,state,Uncategorized,t,4,39d3a07ddb9939b0a50a5340530856b6e25bdef40e50f5146f34b88cbfaf5892,PA,05b8cfc7dfebcfaeaaefc344e7c5e459752c10dcf5fbe7cbc7e697eaae2bffb7
183,REG-046,higher-education-act-entrance-and-exit-counseling,Higher Education Act: Entrance and Exit Counseling,state,Uncategorized,t,4,f43853f6ea1fd3a9bbe40dd4dbe6b352c193497de0385c7e9963f80bf9d8552b,PA,3a04d260aec936c7881e063961407abc25f52ff596219fa8daf79679c7243634
184,REG-047,higher-education-act-federal-supplemental-educatio,Higher Education Act: Federal Supplemental Educational Opportunity Grant Program,state,Uncategorized,t,4,5a9e41244acb361b31b8097dae0a9a3f97c67b201c815797718a43ea039a60b4,PA,cc86f1e6e4161d1e4aa955c13566cdb6dc485bcfd1a34b90497f78ad3a06a51b
185,REG-048,higher-education-act-federal-work-study,Higher Education Act: Federal Work Study,state,Uncategorized,t,4,3cda63a49e3e9a5d4e66d4fb82ef8b98c39a530d162e70d844daf7066dc6309b,PA,0b2234911f4cbd9e7d4a7e175c6d2a68c5c9c61f895062aec1c3ac6f191da992
186,REG-049,higher-education-act-financial-responsibility-requ,Higher Education Act: Financial Responsibility Requirements,state,Uncategorized,t,4,4de196e43eaa74396edf7dfa285674c070de3e33c192287016ecd58df43bcd99,PA,dc14e51bff807c90a6b2ad97753d96454e693964df6b0976259233401403d20d
187,REG-050,higher-education-act-information-distributed-to-st,Higher Education Act: Information Distributed to Students,state,Uncategorized,t,3,c74a27375eca885637905349fc441b3e32ff33b1c0406fc17c4864315fb86975,PA,bcaa84567a683ff8007dc0cc6e631faf376c22e8f8f072969b6f121d35bd6949
188,REG-051,higher-education-act-net-price-calculator,Higher Education Act: Net Price Calculator,state,Uncategorized,t,4,902cb03d6c8a4e172df1287b712b29c335f8d71497531ada7b6ab287a87ea89d,PA,534a84ea635dc7788e725c5184c7067501a6fa77935ec50ebbf547548c04202a
